Location,Date,AQI
Adilabad,Jan-16,67
Adilabad,Feb-16,68
Adilabad,Mar-16,71
Adilabad,Apr-16,70
Adilabad,May-16,71
Adilabad,Jun-16,40
Adilabad,Jul-16,60
Adilabad,Aug-16,61
Adilabad,Sep-16,58
Adilabad,Oct-16,67
Adilabad,Nov-16,63
Adilabad,Dec-16,65
Adilabad,Jan-17,64
Adilabad,Feb-17,64
Adilabad,Mar-17,68
Adilabad,Apr-17,69
Adilabad,May-17,71
Adilabad,Jun-17,66
Adilabad,Jul-17,62
Adilabad,Aug-17,60
Adilabad,Sep-17,61
Adilabad,Oct-17,65
Adilabad,Nov-17,63
Adilabad,Dec-17,64
Adilabad,Jan-18,66
Adilabad,Feb-18,67
Adilabad,Mar-18,70
Adilabad,Apr-18,74
Adilabad,May-18,74
Adilabad,Jun-18,69
Adilabad,Jul-18,64
Adilabad,Aug-18,64
Adilabad,Sep-18,62
Adilabad,Oct-18,67
Adilabad,Nov-18,75
Adilabad,Dec-18,81
Adilabad,Jan-19,76
Adilabad,Feb-19,77
Adilabad,Mar-19,79
Adilabad,Apr-19,78
Adilabad,May-19,80
Adilabad,Jun-19,77
Adilabad,Jul-19,78
Adilabad,Aug-19,79
Adilabad,Sep-19,73
Adilabad,Oct-19,72
Adilabad,Nov-19,79
Adilabad,Dec-19,73
Adilabad,Jan-20,78
Adilabad,Feb-20,82
Adilabad,Mar-20,71
Adilabad,Apr-20,52
Adilabad,May-20,63
Adilabad,Jun-20,74
Adilabad,Jul-20,74
Adilabad,Aug-20,72
Adilabad,Sep-20,72
Adilabad,Oct-20,72
Adilabad,Nov-20,
Adilabad,Dec-20,
Adilabad,Jan-21,
Adilabad,Feb-21,62
Adilabad,Mar-21,73
Adilabad,Apr-21,74
Adilabad,May-21,67
Adilabad,Jun-21,
Adilabad,Jul-21,
Adilabad,Aug-21,
Adilabad,Sep-21,
Adilabad,Oct-21,
Adilabad,Nov-21,
Adilabad,Dec-21,
Adilabad,Jan-22,
Adilabad,Feb-22,
Adilabad,Mar-22,56
Adilabad,Apr-22,65
Adilabad,May-22,60
Adilabad,Jun-22,58
Adilabad,Jul-22,48
Adilabad,Aug-22,56
Adilabad,Sep-22,56
Adilabad,Oct-22,65
Adilabad,Nov-22,58
Adilabad,Dec-22,62
Karimnagar,Jan-16,69
Karimnagar,Feb-16,59
Karimnagar,Mar-16,44
Karimnagar,Apr-16,62
Karimnagar,May-16,52
Karimnagar,Jun-16,48
Karimnagar,Jul-16,32
Karimnagar,Aug-16,36
Karimnagar,Sep-16,31
Karimnagar,Oct-16,56
Karimnagar,Nov-16,69
Karimnagar,Dec-16,84
Karimnagar,Jan-17,84
Karimnagar,Feb-17,75
Karimnagar,Mar-17,86
Karimnagar,Apr-17,79
Karimnagar,May-17,82
Karimnagar,Jun-17,59
Karimnagar,Jul-17,55
Karimnagar,Aug-17,55
Karimnagar,Sep-17,62
Karimnagar,Oct-17,71
Karimnagar,Nov-17,91
Karimnagar,Dec-17,90
Karimnagar,Jan-18,111
Karimnagar,Feb-18,87
Karimnagar,Mar-18,89
Karimnagar,Apr-18,100
Karimnagar,May-18,100
Karimnagar,Jun-18,100
Karimnagar,Jul-18,89
Karimnagar,Aug-18,91
Karimnagar,Sep-18,100
Karimnagar,Oct-18,98
Karimnagar,Nov-18,106
Karimnagar,Dec-18,100
Karimnagar,Jan-19,104
Karimnagar,Feb-19,102
Karimnagar,Mar-19,103
Karimnagar,Apr-19,109
Karimnagar,May-19,103
Karimnagar,Jun-19,99
Karimnagar,Jul-19,100
Karimnagar,Aug-19,99
Karimnagar,Sep-19,97
Karimnagar,Oct-19,102
Karimnagar,Nov-19,105
Karimnagar,Dec-19,112
Karimnagar,Jan-20,111
Karimnagar,Feb-20,114
Karimnagar,Mar-20,110
Karimnagar,Apr-20,39
Karimnagar,May-20,72
Karimnagar,Jun-20,58
Karimnagar,Jul-20,114
Karimnagar,Aug-20,70
Karimnagar,Sep-20,96
Karimnagar,Oct-20,137
Karimnagar,Nov-20,114
Karimnagar,Dec-20,108
Karimnagar,Jan-21,111
Karimnagar,Feb-21,87
Karimnagar,Mar-21,89
Karimnagar,Apr-21,100
Karimnagar,May-21,100
Karimnagar,Jun-21,100
Karimnagar,Jul-21,89
Karimnagar,Aug-21,91
Karimnagar,Sep-21,100
Karimnagar,Oct-21,98
Karimnagar,Nov-21,106
Karimnagar,Dec-21,100
Karimnagar,Jan-22,82
Karimnagar,Feb-22,90
Karimnagar,Mar-22,96
Karimnagar,Apr-22,70
Karimnagar,May-22,76
Karimnagar,Jun-22,89
Karimnagar,Jul-22,69
Karimnagar,Aug-22,55
Karimnagar,Sep-22,58
Karimnagar,Oct-22,63
Karimnagar,Nov-22,101
Karimnagar,Dec-22,126
Khammam,Jan-16,47
Khammam,Feb-16,51
Khammam,Mar-16,54
Khammam,Apr-16,51
Khammam,May-16,47
Khammam,Jun-16,47
Khammam,Jul-16,41
Khammam,Aug-16,37
Khammam,Sep-16,39
Khammam,Oct-16,48
Khammam,Nov-16,55
Khammam,Dec-16,60
Khammam,Jan-17,60
Khammam,Feb-17,64
Khammam,Mar-17,54
Khammam,Apr-17,55
Khammam,May-17,57
Khammam,Jun-17,42
Khammam,Jul-17,41
Khammam,Aug-17,53
Khammam,Sep-17,50
Khammam,Oct-17,63
Khammam,Nov-17,54
Khammam,Dec-17,60
Khammam,Jan-18,64
Khammam,Feb-18,68
Khammam,Mar-18,71
Khammam,Apr-18,77
Khammam,May-18,77
Khammam,Jun-18,83
Khammam,Jul-18,75
Khammam,Aug-18,79
Khammam,Sep-18,84
Khammam,Oct-18,85
Khammam,Nov-18,92
Khammam,Dec-18,88
Khammam,Jan-19,94
Khammam,Feb-19,90
Khammam,Mar-19,91
Khammam,Apr-19,90
Khammam,May-19,88
Khammam,Jun-19,81
Khammam,Jul-19,77
Khammam,Aug-19,84
Khammam,Sep-19,78
Khammam,Oct-19,86
Khammam,Nov-19,85
Khammam,Dec-19,84
Khammam,Jan-20,88
Khammam,Feb-20,84
Khammam,Mar-20,83
Khammam,Apr-20,80
Khammam,May-20,63
Khammam,Jun-20,48
Khammam,Jul-20,70
Khammam,Aug-20,37
Khammam,Sep-20,52
Khammam,Oct-20,62
Khammam,Nov-20,83
Khammam,Dec-20,95
Khammam,Jan-21,100
Khammam,Feb-21,84
Khammam,Mar-21,68
Khammam,Apr-21,54
Khammam,May-21,71
Khammam,Jun-21,88
Khammam,Jul-21,69
Khammam,Aug-21,67
Khammam,Sep-21,85
Khammam,Oct-21,61
Khammam,Nov-21,86
Khammam,Dec-21,78
Khammam,Jan-22,80
Khammam,Feb-22,78
Khammam,Mar-22,77
Khammam,Apr-22,79
Khammam,May-22,77
Khammam,Jun-22,81
Khammam,Jul-22,73
Khammam,Aug-22,58
Khammam,Sep-22,42
Khammam,Oct-22,57
Khammam,Nov-22,78
Khammam,Dec-22,115
Nizamabad,Jan-16,62
Nizamabad,Feb-16,64
Nizamabad,Mar-16,66
Nizamabad,Apr-16,68
Nizamabad,May-16,69
Nizamabad,Jun-16,38
Nizamabad,Jul-16,57
Nizamabad,Aug-16,58
Nizamabad,Sep-16,56
Nizamabad,Oct-16,64
Nizamabad,Nov-16,60
Nizamabad,Dec-16,62
Nizamabad,Jan-17,61
Nizamabad,Feb-17,62
Nizamabad,Mar-17,63
Nizamabad,Apr-17,67
Nizamabad,May-17,68
Nizamabad,Jun-17,63
Nizamabad,Jul-17,57
