district,date,min-temp,max-temp
Karimnagar,2019-01-01,13.9,31.51
Karimnagar,2019-01-02,14.2,33.79
Karimnagar,2019-01-03,16.91,35.99
Karimnagar,2019-01-04,15.25,35.32
Karimnagar,2019-01-05,16.98,35.44
Karimnagar,2019-01-06,17.81,32.97
Karimnagar,2019-01-07,19.06,32.9
Karimnagar,2019-01-08,17.5,32.9
Karimnagar,2019-01-09,14.34,35.17
Karimnagar,2019-01-10,14.17,33.32
Karimnagar,2019-01-11,17.01,34.16
Karimnagar,2019-01-12,19.54,32.9
Karimnagar,2019-01-13,21.18,32.87
Karimnagar,2019-01-14,19.82,34.35
Karimnagar,2019-01-15,19.5,35.38
Karimnagar,2019-01-16,17.5,33.18
Karimnagar,2019-01-17,16.64,33.44
Karimnagar,2019-01-18,17.35,34.01
Karimnagar,2019-01-19,17.25,33
Karimnagar,2019-01-20,16.61,33.33
Karimnagar,2019-01-21,16,35.58
Karimnagar,2019-01-22,19.36,34.54
Karimnagar,2019-01-23,20.22,34.6
Karimnagar,2019-01-24,20.07,34.39
Karimnagar,2019-01-25,22.48,32.37
Karimnagar,2019-01-26,22.77,32.47
Karimnagar,2019-01-27,20.51,28.27
Karimnagar,2019-01-28,20.14,24.4
Karimnagar,2019-01-29,17.11,27.44
Karimnagar,2019-01-30,14.28,28.99
Karimnagar,2019-01-31,16.58,29.5
Karimnagar,2019-02-01,19.04,32.1
Karimnagar,2019-02-02,18.51,33.46
Karimnagar,2019-02-03,19.18,33.36
Karimnagar,2019-02-04,19.44,32.81
Karimnagar,2019-02-05,19.44,34.18
Karimnagar,2019-02-06,19.17,34.19
Karimnagar,2019-02-07,22.22,34.54
Karimnagar,2019-02-08,22.9,35.54
Karimnagar,2019-02-09,19.3,32.1
Karimnagar,2019-02-10,16.64,30.77
Karimnagar,2019-02-11,19.64,32.3
Karimnagar,2019-02-12,21.94,34.6
Karimnagar,2019-02-13,21.8,34.93
Karimnagar,2019-02-14,20.25,36.1
Karimnagar,2019-02-15,20.34,34.2
Karimnagar,2019-02-16,22.14,36.3
Karimnagar,2019-02-17,24.16,35.17
Karimnagar,2019-02-18,21.8,34.74
Karimnagar,2019-02-19,22.01,34.94
Karimnagar,2019-02-20,24.61,37.02
Karimnagar,2019-02-21,22.47,35.68
Karimnagar,2019-02-22,23.18,37.27
Karimnagar,2019-02-23,22.77,37.47
Karimnagar,2019-02-24,22.47,38.14
Karimnagar,2019-02-25,22.24,38.65
Karimnagar,2019-02-26,21.54,38.87
Karimnagar,2019-02-27,23.34,35.83
Karimnagar,2019-02-28,22.54,35.84
Karimnagar,2019-03-01,20.07,35.05
Karimnagar,2019-03-02,23.75,35.31
Karimnagar,2019-03-03,24.08,35.88
Karimnagar,2019-03-04,23.74,37.37
Karimnagar,2019-03-05,23.78,38.51
Karimnagar,2019-03-06,21.35,37.27
Karimnagar,2019-03-07,20.07,37.03
Karimnagar,2019-03-08,20.41,36.64
Karimnagar,2019-03-09,21.94,37.44
Karimnagar,2019-03-10,23.14,37.7
Karimnagar,2019-03-11,23.81,38.64
Karimnagar,2019-03-12,25.4,38.8
Karimnagar,2019-03-13,24.07,37.87
Karimnagar,2019-03-14,24.18,38.37
Karimnagar,2019-03-15,23.37,39.84
Karimnagar,2019-03-16,22.48,39.8
Karimnagar,2019-03-17,24.87,38
Karimnagar,2019-03-18,23.12,37.8
Karimnagar,2019-03-19,22.97,35.77
Karimnagar,2019-03-20,24.51,37.81
Karimnagar,2019-03-21,24.4,36.75
Karimnagar,2019-03-22,24.07,38.04
Karimnagar,2019-03-23,24.77,37.65
Karimnagar,2019-03-24,24.9,38.78
Karimnagar,2019-03-25,25.7,39.78
Karimnagar,2019-03-26,25.81,39.67
Karimnagar,2019-03-27,25.01,39.44
Karimnagar,2019-03-28,25.24,39.95
Karimnagar,2019-03-29,25.44,41.41
Karimnagar,2019-03-30,25.47,41.41
Karimnagar,2019-03-31,25.79,40.94
Karimnagar,2019-04-01,27.36,43.04
Karimnagar,2019-04-02,25.74,41.97
Karimnagar,2019-04-03,24.61,40.54
Karimnagar,2019-04-04,24.77,39.01
Karimnagar,2019-04-05,25.38,39.44
Karimnagar,2019-04-06,24.97,39.3
Karimnagar,2019-04-07,26.36,41.78
Karimnagar,2019-04-08,25.24,42.12
Karimnagar,2019-04-09,25.77,42.34
Karimnagar,2019-04-10,26.64,40.15
Karimnagar,2019-04-11,26.81,42.21
Karimnagar,2019-04-12,27.57,43.88
Karimnagar,2019-04-13,24.51,43.7
Karimnagar,2019-04-14,26.57,42.47
Karimnagar,2019-04-15,27.4,43.64
Karimnagar,2019-04-16,26.95,42.54
Karimnagar,2019-04-17,26.11,41.59
Karimnagar,2019-04-18,25.34,40.49
Karimnagar,2019-04-19,25.47,40.21
Karimnagar,2019-04-20,24.31,40.19
Karimnagar,2019-04-21,25.8,40.35
Karimnagar,2019-04-22,27.5,40.19
Karimnagar,2019-04-23,26.47,40.17
Karimnagar,2019-04-24,26.04,42.17
Karimnagar,2019-04-25,28.77,42.34
Karimnagar,2019-04-26,27.94,43.58
Karimnagar,2019-04-27,28.47,44.4
Karimnagar,2019-04-28,28.71,44.9
Karimnagar,2019-04-29,28.57,44.72
Karimnagar,2019-04-30,29.77,44.54
Karimnagar,2019-05-01,30.1,44.16
Karimnagar,2019-05-02,30.58,43.06
Karimnagar,2019-05-03,28.34,44.68
Karimnagar,2019-05-04,30.38,42.74
Karimnagar,2019-05-05,30.86,44
Karimnagar,2019-05-06,31.07,44.7
Karimnagar,2019-05-07,30.31,45.22
Karimnagar,2019-05-08,30.01,45.17
Karimnagar,2019-05-09,30.17,44.89
Karimnagar,2019-05-10,29.39,45.94
Karimnagar,2019-05-11,31.07,44.41
Karimnagar,2019-05-12,29.3,42.95
Karimnagar,2019-05-13,30.04,43.64
Karimnagar,2019-05-14,28.74,44.51
Karimnagar,2019-05-15,30.37,43.9
Karimnagar,2019-05-16,30.04,43.54
Karimnagar,2019-05-17,30.27,43.77
Karimnagar,2019-05-18,30.5,45.14
Karimnagar,2019-05-19,31,44.34
Karimnagar,2019-05-20,30.34,45.06
Karimnagar,2019-05-21,31.08,44.71
Karimnagar,2019-05-22,30.38,44.34
Karimnagar,2019-05-23,30.78,44.71
Karimnagar,2019-05-24,30.24,44.47
Karimnagar,2019-05-25,31.74,44.9
Karimnagar,2019-05-26,32.47,46.17
Karimnagar,2019-05-27,33.62,46.97
Karimnagar,2019-05-28,32.34,46.97
Karimnagar,2019-05-29,32.6,46.86
Karimnagar,2019-05-30,29.95,45.7
Karimnagar,2019-05-31,30.24,42.96
Karimnagar,2019-06-01,28,44.325
Karimnagar,2019-06-02,27.225,38.6
Karimnagar,2019-06-03,32.075,44.55
Karimnagar,2019-06-04,26.8,44.1
Karimnagar,2019-06-05,31.7,41.85
Karimnagar,2019-06-06,32.45,44.475
Karimnagar,2019-06-07,29.5,44.25
Karimnagar,2019-06-08,27.35,43.4
Karimnagar,2019-06-09,30.125,38.525
Karimnagar,2019-06-10,32.3,43.375
Karimnagar,2019-06-11,30.1,43.55
Karimnagar,2019-06-12,32.3,42.65
Karimnagar,2019-06-13,29.825,42.475
Karimnagar,2019-06-14,30.175,42
Karimnagar,2019-06-15,31.325,41.025
Karimnagar,2019-06-16,32.625,41.375
Karimnagar,2019-06-17,32,41.25
Karimnagar,2019-06-18,29.55,38.25
Karimnagar,2019-06-19,31.825,39.9
Karimnagar,2019-06-20,31.425,41.475
Karimnagar,2019-06-21,24.625,40.125
Karimnagar,2019-06-22,27.15,35.425
Karimnagar,2019-06-23,26.25,34.725
Karimnagar,2019-06-24,26.025,34.55
Karimnagar,2019-06-25,28.1,37.9
Karimnagar,2019-06-26,28.225,38.35
Karimnagar,2019-06-27,28.575,38.8
Karimnagar,2019-06-28,29.025,38.55
Karimnagar,2019-06-29,26.25,37.925
Karimnagar,2019-06-30,25.15,32.6
Karimnagar,2019-07-01,24.525,31.875
Karimnagar,2019-07-02,26.1,32.4
Karimnagar,2019-07-03,24.225,31.975
Karimnagar,2019-07-04,26.925,32.25
Karimnagar,2019-07-05,27.5,35.75
Karimnagar,2019-07-06,26,34.275
