district,date,min-temp,max-temp
Khammam,2022-01-01,20.9,32.8
Khammam,2022-01-02,20.5,32.6
Khammam,2022-01-03,20.7,33
Khammam,2022-01-04,19.2,33.8
Khammam,2022-01-05,20,32.8
Khammam,2022-01-06,19.3,33
Khammam,2022-01-07,20.8,33.6
Khammam,2022-01-08,21.8,32.9
Khammam,2022-01-09,20.4,33.4
Khammam,2022-01-10,20.6,32.9
Khammam,2022-01-11,21,33
Khammam,2022-01-12,22.6,33.8
Khammam,2022-01-13,22.4,32.4
Khammam,2022-01-14,20.6,29.9
Khammam,2022-01-15,21.7,30.3
Khammam,2022-01-16,22.2,32.7
Khammam,2022-01-17,21.7,33.1
Khammam,2022-01-18,20.8,32.1
Khammam,2022-01-19,19.9,32.9
Khammam,2022-01-20,19.6,33.4
Khammam,2022-01-21,20.9,33.7
Khammam,2022-01-22,20.3,34.6
Khammam,2022-01-23,22.3,34.4
Khammam,2022-01-24,22.7,34.3
Khammam,2022-01-25,19.7,34.2
Khammam,2022-01-26,19.7,34.3
Khammam,2022-01-27,20.5,33.7
Khammam,2022-01-28,16.2,32.9
Khammam,2022-01-29,15.5,33.3
Khammam,2022-01-30,16.7,33.6
Khammam,2022-01-31,16.6,34.7
Khammam,2022-02-01,8.7,36.8
Khammam,2022-02-02,8.6,36.5
Khammam,2022-02-03,11.1,36.6
Khammam,2022-02-04,11.3,36.1
Khammam,2022-02-05,6,34.5
Khammam,2022-02-06,6.7,35.8
Khammam,2022-02-07,9.7,36.9
Khammam,2022-02-08,12.7,36.3
Khammam,2022-02-09,15.4,36.5
Khammam,2022-02-10,14.2,34.6
Khammam,2022-02-11,11.7,34.7
Khammam,2022-02-12,8,36.5
Khammam,2022-02-13,7.3,36.2
Khammam,2022-02-14,8.8,36.4
Khammam,2022-02-15,11.7,36.3
Khammam,2022-02-16,14.3,35.1
Khammam,2022-02-17,13.5,36.4
Khammam,2022-02-18,15.5,36.1
Khammam,2022-02-19,12.5,36.5
Khammam,2022-02-20,13.6,37.2
Khammam,2022-02-21,10,37.2
Khammam,2022-02-22,10.2,39.2
Khammam,2022-02-23,11.5,38.7
Khammam,2022-02-24,13.2,37.4
Khammam,2022-02-25,12.2,38.2
Khammam,2022-02-26,11.4,38.3
Khammam,2022-02-27,11.9,38
Khammam,2022-02-28,12.3,38.7
Khammam,2022-03-01,19.1,38.7
Khammam,2022-03-02,19.9,38.2
Khammam,2022-03-03,20.2,37.6
Khammam,2022-03-04,20.8,38.7
Khammam,2022-03-05,20.3,37.4
Khammam,2022-03-06,20.9,37
Khammam,2022-03-07,20.9,37.2
Khammam,2022-03-08,21,37.8
Khammam,2022-03-09,22.3,38.8
Khammam,2022-03-10,21.6,38
Khammam,2022-03-11,21.8,38.7
Khammam,2022-03-12,21.4,38.7
Khammam,2022-03-13,21.7,38.5
Khammam,2022-03-14,21.2,39.8
Khammam,2022-03-15,21,39.7
Khammam,2022-03-16,21.2,40.8
Khammam,2022-03-17,22.4,41.2
Khammam,2022-03-18,23.8,42.2
Khammam,2022-03-19,23.9,38.8
Khammam,2022-03-20,25.2,38.7
Khammam,2022-03-21,26.2,39
Khammam,2022-03-22,25.4,39.6
Khammam,2022-03-23,25.6,39.2
Khammam,2022-03-24,25.5,39.1
Khammam,2022-03-25,24.7,38.7
Khammam,2022-03-26,25.1,38.8
Khammam,2022-03-27,25.7,39.2
Khammam,2022-03-28,25.7,39.7
Khammam,2022-03-29,25.8,39.7
Khammam,2022-03-30,26.3,41.8
Khammam,2022-03-31,27,40.8
Khammam,2022-04-01,26.3,38.8
Khammam,2022-04-02,26.4,37.7
Khammam,2022-04-03,26,38.7
Khammam,2022-04-04,25.7,39.7
Khammam,2022-04-05,25.8,39.8
Khammam,2022-04-06,25.3,38.7
Khammam,2022-04-07,25.3,39.8
Khammam,2022-04-08,24.6,39.7
Khammam,2022-04-09,25.7,39.9
Khammam,2022-04-10,26,39.6
Khammam,2022-04-11,25.8,39.4
Khammam,2022-04-12,25.9,40.2
Khammam,2022-04-13,25.6,40.3
Khammam,2022-04-14,26.2,40.9
Khammam,2022-04-15,26.8,40.7
Khammam,2022-04-16,28.3,39.4
Khammam,2022-04-17,28.2,40
Khammam,2022-04-18,28.2,39.9
Khammam,2022-04-19,26.9,42
Khammam,2022-04-20,26.8,42.5
Khammam,2022-04-21,27.7,42.7
Khammam,2022-04-22,26.2,40.7
Khammam,2022-04-23,26.6,39.9
Khammam,2022-04-24,27.1,40.4
Khammam,2022-04-25,27.3,42.6
Khammam,2022-04-26,26.8,44.2
Khammam,2022-04-27,26.7,43.7
Khammam,2022-04-28,27.3,42.7
Khammam,2022-04-29,26.7,42.3
Khammam,2022-04-30,26.6,44.8
Khammam,2022-05-01,27.2,43.6
Khammam,2022-05-02,28,45.4
Khammam,2022-05-03,28.5,43.8
Khammam,2022-05-04,27.8,41.9
Khammam,2022-05-05,27,38.6
Khammam,2022-05-06,26.7,41.8
Khammam,2022-05-07,24.7,42.1
Khammam,2022-05-08,29.4,42.8
Khammam,2022-05-09,25.7,41.5
Khammam,2022-05-10,28.5,42.3
Khammam,2022-05-11,27.5,40.2
Khammam,2022-05-12,26.7,33.7
Khammam,2022-05-13,26.2,36.9
Khammam,2022-05-14,27.3,39.7
Khammam,2022-05-15,28.5,42.2
Khammam,2022-05-16,28.5,41.8
Khammam,2022-05-17,28,41.5
Khammam,2022-05-18,28,41
Khammam,2022-05-19,28.2,40.1
Khammam,2022-05-20,27.2,38.6
Khammam,2022-05-21,27.1,41.4
Khammam,2022-05-22,29.4,41.4
Khammam,2022-05-23,31.2,43.2
Khammam,2022-05-24,30.9,43.8
Khammam,2022-05-25,27.1,43.9
Khammam,2022-05-26,28.4,41.6
Khammam,2022-05-27,28.4,44.1
Khammam,2022-05-28,27.4,41.5
Khammam,2022-05-29,28.6,43.8
Khammam,2022-05-30,28.5,43.8
Khammam,2022-05-31,30.1,43.7
Khammam,2022-06-01,28.1,42.9
Khammam,2022-06-02,30.6,43.8
Khammam,2022-06-03,30.1,45.1
Khammam,2022-06-04,30.9,45.1
Khammam,2022-06-05,30.6,44.7
Khammam,2022-06-06,29,45
Khammam,2022-06-07,27.1,36.1
Khammam,2022-06-08,29.7,42.4
Khammam,2022-06-09,31.3,44.2
Khammam,2022-06-10,32.2,42.3
Khammam,2022-06-11,31,42.3
Khammam,2022-06-12,29.2,41.5
Khammam,2022-06-13,29.3,40.6
Khammam,2022-06-14,25.6,41.4
Khammam,2022-06-15,27,41.2
Khammam,2022-06-16,26.2,40.9
Khammam,2022-06-17,27.2,38.1
Khammam,2022-06-18,27.1,40.3
Khammam,2022-06-19,27.4,38.1
Khammam,2022-06-20,28.1,38.2
Khammam,2022-06-21,24.3,36.9
Khammam,2022-06-22,23.8,34.6
Khammam,2022-06-23,26.6,36.7
Khammam,2022-06-24,27.4,38.6
Khammam,2022-06-25,26.2,35.6
Khammam,2022-06-26,25.8,36
Khammam,2022-06-27,24.6,35.7
Khammam,2022-06-28,24.1,33.8
Khammam,2022-06-29,26.3,35.7
Khammam,2022-06-30,27.1,36.1
Khammam,2022-07-01,27.9,37.4
Khammam,2022-07-02,26.1,37.7
Khammam,2022-07-03,24.2,35.9
Khammam,2022-07-04,25.4,33
Khammam,2022-07-05,25.8,33.9
Khammam,2022-07-06,24.7,37.4
Khammam,2022-07-07,26.4,32.9
Khammam,2022-07-08,24.2,34
Khammam,2022-07-09,23.4,28.1
Khammam,2022-07-10,23.3,30.3
Khammam,2022-07-11,25,30.6
Khammam,2022-07-12,23.6,30.3
Khammam,2022-07-13,24.4,28.1
Khammam,2022-07-14,24.9,30.5
Khammam,2022-07-15,25.6,32
Khammam,2022-07-16,26.5,34.8
Khammam,2022-07-17,25.3,37
Khammam,2022-07-18,24.3,29.9
Khammam,2022-07-19,25.3,34.1
Khammam,2022-07-20,27.1,36.4
Khammam,2022-07-21,26.3,37.7
Khammam,2022-07-22,26.5,36.6
Khammam,2022-07-23,24.2,30.7
Khammam,2022-07-24,25.6,32.7
Khammam,2022-07-25,25.2,33.9
Khammam,2022-07-26,25.8,36.3
Khammam,2022-07-27,24.7,32.8
Khammam,2022-07-28,25.7,37.1
Khammam,2022-07-29,25.9,37.5
Khammam,2022-07-30,26.4,38
Khammam,2022-07-31,26.9,37.2
Khammam,2022-08-01,27,38.9
Khammam,2022-08-02,25.8,38.8
Khammam,2022-08-03,24.5,38.5
Khammam,2022-08-04,26.7,36.5
Khammam,2022-08-05,24.7,35.5
Khammam,2022-08-06,25,33.6
Khammam,2022-08-07,25.1,32.9
Khammam,2022-08-08,24.5,32.2
Khammam,2022-08-09,25.7,32.3
Khammam,2022-08-10,25.6,30.7
Khammam,2022-08-11,25.8,34.5
Khammam,2022-08-12,27.1,34.6
Khammam,2022-08-13,26.4,34.8
Khammam,2022-08-14,25.3,33.9
Khammam,2022-08-15,25.2,30.7
Khammam,2022-08-16,25.5,32.4
Khammam,2022-08-17,25.4,37.4
Khammam,2022-08-18,27.1,37.7
Khammam,2022-08-19,27.1,36.5
Khammam,2022-08-20,26.8,34.2
Khammam,2022-08-21,28.1,36.1
Khammam,2022-08-22,27.5,36.5
Khammam,2022-08-23,26,36.6
Khammam,2022-08-24,26.7,37.4
Khammam,2022-08-25,25.1,34.9
Khammam,2022-08-26,25.2,37.1
Khammam,2022-08-27,26.2,37.4
Khammam,2022-08-28,26.3,35.2
Khammam,2022-08-29,25.1,36.7
Khammam,2022-08-30,26,36.8
Khammam,2022-08-31,25.8,37.1
Khammam,2022-09-01,25.4,37
Khammam,2022-09-02,26.2,36.8
Khammam,2022-09-03,26.2,35.9
Khammam,2022-09-04,26.2,38.6
Khammam,2022-09-05,25.7,36.9
Khammam,2022-09-06,26.4,38.9
Khammam,2022-09-07,26.4,37.1
Khammam,2022-09-08,24.4,34.7
Khammam,2022-09-09,25.9,34
Khammam,2022-09-10,25.8,32.6
Khammam,2022-09-11,25,32.6
Khammam,2022-09-12,26,32.4
Khammam,2022-09-13,26.2,33.6
Khammam,2022-09-14,26,33.9
Khammam,2022-09-15,25.8,33.8
Khammam,2022-09-16,26,35.7
Khammam,2022-09-17,26.6,35.9
Khammam,2022-09-18,26.5,36.3
Khammam,2022-09-19,26.4,36
Khammam,2022-09-20,23.9,30.7
Khammam,2022-09-21,25.7,32.8
Khammam,2022-09-22,25.9,35.6
Khammam,2022-09-23,24.3,32.9
Khammam,2022-09-24,24,34.9
Khammam,2022-09-25,24.9,36.6
Khammam,2022-09-26,26.2,38.4
Khammam,2022-09-27,24,37.2
Khammam,2022-09-28,25.9,38.4
Khammam,2022-09-29,23.6,36.1
Khammam,2022-09-30,26.2,34.4
Khammam,2022-10-01,24.6,34.5
Khammam,2022-10-02,25.9,34.3
Khammam,2022-10-03,26.1,37
Khammam,2022-10-04,26.5,34.5
Khammam,2022-10-05,25.6,34.5
Khammam,2022-10-06,24,36
Khammam,2022-10-07,24.3,32.1
Khammam,2022-10-08,25.8,32.8
Khammam,2022-10-09,24,36.8
Khammam,2022-10-10,24.8,33.6
Khammam,2022-10-11,24.2,32.9
Khammam,2022-10-12,24.6,34.5
Khammam,2022-10-13,25.1,36.2
Khammam,2022-10-14,25.9,37
Khammam,2022-10-15,23.4,32.9
Khammam,2022-10-16,24.2,30.7
Khammam,2022-10-17,24.2,34.5
Khammam,2022-10-18,25.5,36.9
Khammam,2022-10-19,23.8,36.1
Khammam,2022-10-20,25.7,36.7
Khammam,2022-10-21,25.3,36.5
Khammam,2022-10-22,22.6,36.7
Khammam,2022-10-23,21.4,35.8
Khammam,2022-10-24,21.5,36.1
Khammam,2022-10-25,20.8,35.8
Khammam,2022-10-26,20.8,36.5
Khammam,2022-10-27,22.2,37.1
Khammam,2022-10-28,22,37.1
Khammam,2022-10-29,21.5,36.1
Khammam,2022-10-30,21.7,34.9
Khammam,2022-10-31,21.5,34.8
Khammam,2022-11-05,22.86,33.44
Khammam,2022-11-23,23.475,32.355
Khammam,2022-11-25,22.7,34.515
Khammam,2022-11-10,20.06,35.565
Khammam,2022-11-18,16.19,34.015
Khammam,2022-11-27,17.1,34.695
Khammam,2022-11-01,22.505,35.315
Khammam,2022-11-08,19.1,35.8
Khammam,2022-11-11,18.7,33.3
Khammam,2022-11-13,19.5,34.3
Khammam,2022-11-17,14.49,33.34
Khammam,2022-11-03,23.7,32.8
Khammam,2022-11-04,22.79,32.565
Khammam,2022-11-22,20.085,27.6
Khammam,2022-11-30,16.09,32.2
Khammam,2022-11-26,19.2,31.8
Khammam,2022-11-29,16.4,33
Khammam,2022-11-21,22.57,32.43
Khammam,2022-11-16,17.4,34.3
Khammam,2022-11-09,21.5,33
Khammam,2022-11-14,21.4,32.2
Khammam,2022-11-24,22.9,31.1
Khammam,2022-11-07,19.98,33.845
Khammam,2022-11-28,16.3,34.8
Khammam,2022-11-02,23.1,33
Khammam,2022-11-06,22.1,35.2
Khammam,2022-11-15,20.62,35.65
Khammam,2022-11-19,16.9,30.9
Khammam,2022-11-12,20.8,35.8
Khammam,2022-12-01,20.2,33.4
Khammam,2022-12-02,21.4,34.2
Khammam,2022-12-03,23.5,34.5
Khammam,2022-12-04,23,34.5
Khammam,2022-12-05,20.6,34
Khammam,2022-12-06,20.2,34.3
Khammam,2022-12-07,19.3,33
Khammam,2022-12-08,19.3,32.8
Khammam,2022-12-09,20.3,32.9
Khammam,2022-12-10,20,28.1
Khammam,2022-12-11,22.9,30.6
Khammam,2022-12-12,22.7,33.4
Khammam,2022-12-13,23.7,33.3
Khammam,2022-12-14,22.5,34
Khammam,2022-12-15,22,35.1
Khammam,2022-12-16,20.6,34.9
Khammam,2022-12-17,22.3,35.6
Khammam,2022-12-18,23,34.5
Khammam,2022-12-19,20.1,33.4
Khammam,2022-12-20,19.5,33
Khammam,2022-12-21,19.9,34.6
Khammam,2022-12-22,20.7,33.6
Khammam,2022-12-23,19,34.4
Khammam,2022-12-24,18.4,34.5
Khammam,2022-12-25,19.3,34.3
Khammam,2022-12-26,21.3,34.3
Khammam,2022-12-27,22.8,34
Khammam,2022-12-28,23,34.9
Khammam,2022-12-29,22.5,36.9
Khammam,2022-12-30,22.2,35.7
Khammam,2022-12-31,21.6,35.3
Khammam,2021-04-01,22.2,43
Khammam,2021-04-02,24.1,42.4
Khammam,2021-04-03,24.9,42.8
Khammam,2021-04-04,26.5,40
Khammam,2021-04-05,27,39.7
Khammam,2021-04-06,25.4,39.6
Khammam,2021-04-07,25.8,39.7
Khammam,2021-04-08,25.5,39.8
Khammam,2021-04-09,26,39.9
Khammam,2021-04-10,24.1,38.7
Khammam,2021-04-11,24.4,38.6
Khammam,2021-04-12,26.8,39.7
Khammam,2021-04-13,25.3,39.6
Khammam,2021-04-14,23.6,40
Khammam,2021-04-15,25.2,36.9
Khammam,2021-04-16,23.8,38.6
Khammam,2021-04-17,26.8,39.8
Khammam,2021-04-18,27,40.8
Khammam,2021-04-19,26.5,40.2
Khammam,2021-04-20,28.9,42
Khammam,2021-04-21,26.6,40.2
Khammam,2021-04-22,25.7,39.9
Khammam,2021-04-23,27,39.8
Khammam,2021-04-24,26,39.3
Khammam,2021-04-25,24.9,40.3
Khammam,2021-04-26,26.6,41.4
Khammam,2021-04-27,26.8,40
Khammam,2021-04-28,24.6,42.4
Khammam,2021-04-29,27.5,41.8
Khammam,2021-04-30,23.9,40
Khammam,2021-05-01,25.8,39.8
Khammam,2021-05-02,25.9,39.3
Khammam,2021-05-03,26.1,40
Khammam,2021-05-04,26.6,39.8
Khammam,2021-05-05,26.4,40.1
Khammam,2021-05-06,26.7,41.8
Khammam,2021-05-07,27.3,40
Khammam,2021-05-08,28.7,40
Khammam,2021-05-09,28,40.8
Khammam,2021-05-10,28.3,40.6
Khammam,2021-05-11,28.2,41.5
Khammam,2021-05-12,24.7,42.1
Khammam,2021-05-13,28.3,40
Khammam,2021-05-14,28.9,41.1
Khammam,2021-05-15,28.7,39.8
Khammam,2021-05-16,28.9,39.4
Khammam,2021-05-17,28.2,34.8
Khammam,2021-05-18,28.7,38.7
Khammam,2021-05-19,28.6,40
Khammam,2021-05-20,26.1,40.2
Khammam,2021-05-21,28.2,39.4
Khammam,2021-05-22,25,40
Khammam,2021-05-23,28,38.8
Khammam,2021-05-24,27.9,40.1
Khammam,2021-05-25,29.7,39.9
Khammam,2021-05-26,26.9,39.2
Khammam,2021-05-27,31.2,42.3
Khammam,2021-05-28,30.2,42.5
Khammam,2021-05-29,29,41.5
Khammam,2021-05-30,27.7,42.8
Khammam,2021-05-31,29.5,42.4
Khammam,2021-06-01,28.1,42.3
Khammam,2021-06-02,29.9,42.1
Khammam,2021-06-03,27.5,41.2
Khammam,2021-06-04,24.6,32.3
Khammam,2021-06-05,27,37.8
Khammam,2021-06-06,27.4,38.2
Khammam,2021-06-07,27.8,39.7
Khammam,2021-06-08,28.1,40.2
Khammam,2021-06-09,29.6,39.9
Khammam,2021-06-10,28.5,35.3
Khammam,2021-06-11,25.2,36.5
Khammam,2021-06-12,26.8,33
Khammam,2021-06-13,26,35.1
Khammam,2021-06-14,24.5,34.9
Khammam,2021-06-15,26.7,33
Khammam,2021-06-16,26.5,35.5
Khammam,2021-06-17,26.9,34.8
Khammam,2021-06-18,25.6,34.6
Khammam,2021-06-19,28.2,34.7
Khammam,2021-06-20,27.8,36.1
Khammam,2021-06-21,27,37.3
Khammam,2021-06-22,29,37.8
Khammam,2021-06-23,28.2,37.5
Khammam,2021-06-24,25.9,34.7
Khammam,2021-06-25,28,35.1
Khammam,2021-06-26,28.7,37.1
Khammam,2021-06-27,25.9,35.7
Khammam,2021-06-28,26.5,35.1
Khammam,2021-06-29,26.6,37
Khammam,2021-06-30,27.3,38.8
Khammam,2021-07-01,23.9,39.1
Khammam,2021-07-02,24,33.8
Khammam,2021-07-03,24.7,30.7
Khammam,2021-07-04,26.6,36.5
Khammam,2021-07-05,26.1,38.9
Khammam,2021-07-06,26.2,37.2
Khammam,2021-07-07,26.8,38.4
Khammam,2021-07-08,25.8,39
Khammam,2021-07-09,26.2,32.9
Khammam,2021-07-10,25.2,34.1
Khammam,2021-07-11,26,34.2
Khammam,2021-07-12,26.4,32.1
Khammam,2021-07-13,25.5,32.9
Khammam,2021-07-14,24.8,32.3
Khammam,2021-07-15,25.2,32.2
Khammam,2021-07-16,25.6,33.6
Khammam,2021-07-17,25.9,33.7
Khammam,2021-07-18,26.4,37.3
Khammam,2021-07-19,26.1,34.8
Khammam,2021-07-20,27.3,35.9
Khammam,2021-07-21,24.6,34.3
Khammam,2021-07-22,23.4,28
Khammam,2021-07-23,23.8,27.6
Khammam,2021-07-24,24.3,34.3
Khammam,2021-07-25,26.5,34.9
Khammam,2021-07-26,26.5,36
Khammam,2021-07-27,28,35.3
Khammam,2021-07-28,27.5,34.8
Khammam,2021-07-29,28.8,34.7
Khammam,2021-07-30,27.9,33.8
Khammam,2021-07-31,27.8,34.6
Khammam,2021-08-01,27.5,34.1
Khammam,2021-08-02,27.2,34.9
Khammam,2021-08-03,27.4,36.2
Khammam,2021-08-04,27.5,36.1
Khammam,2021-08-05,28.1,37.1
Khammam,2021-08-06,27.8,36.6
Khammam,2021-08-07,27.3,37.1
Khammam,2021-08-08,26.7,37.9
Khammam,2021-08-09,27,39.5
Khammam,2021-08-10,27.2,37.6
Khammam,2021-08-11,26.3,35.3
